epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7812,1.52284,2.3663,1.64385,0.6507,0.29607,0.29624,0.13357,1.82841,2.35645,2.10011,0.000415189,0.000415189,0.000415189
2,155.654,1.64511,2.13292,1.74983,0.53917,0.28211,0.21168,0.08665,2.13426,2.69322,2.40154,0.00082362,0.00082362,0.00082362
3,233.1,1.69976,2.15428,1.81069,0.54799,0.21227,0.21289,0.08854,1.98106,2.46131,2.29048,0.0012238,0.0012238,0.0012238
4,303.67,1.66985,2.091,1.81298,0.6321,0.24452,0.23247,0.0993,1.94158,2.4698,2.19405,0.00121287,0.00121287,0.00121287
5,371.261,1.65665,1.99255,1.76785,0.58003,0.28307,0.27374,0.12835,1.886,2.17474,2.12896,0.0012005,0.0012005,0.0012005
6,438.876,1.61918,1.92901,1.74903,0.62393,0.34411,0.33179,0.15094,1.85444,2.11884,2.106,0.00118812,0.00118812,0.00118812
7,506.613,1.59728,1.88823,1.72169,0.68954,0.30699,0.34413,0.15317,1.87516,2.06723,2.1673,0.00117575,0.00117575,0.00117575
8,576.813,1.57236,1.85082,1.70893,0.67203,0.34342,0.39076,0.19106,1.80029,1.89974,2.00983,0.00116337,0.00116337,0.00116337
9,646.85,1.54075,1.80402,1.68325,0.69379,0.38523,0.39426,0.19203,1.77831,1.94218,2.01267,0.001151,0.001151,0.001151
10,716.722,1.53718,1.7681,1.6817,0.7264,0.37841,0.41189,0.196,1.76611,1.73091,1.99289,0.00113863,0.00113863,0.00113863
11,786.617,1.50754,1.74222,1.66267,0.71207,0.36221,0.41938,0.21278,1.69573,1.79538,1.94751,0.00112625,0.00112625,0.00112625
12,857.079,1.50827,1.69168,1.65753,0.69061,0.35522,0.37204,0.18236,1.843,1.89205,2.07809,0.00111388,0.00111388,0.00111388
13,927.964,1.48498,1.67002,1.63882,0.75236,0.33852,0.43345,0.22263,1.73313,1.82882,1.982,0.0011015,0.0011015,0.0011015
14,997.498,1.47474,1.65325,1.63121,0.65475,0.41875,0.49338,0.24836,1.78683,1.66294,1.9731,0.00108913,0.00108913,0.00108913
15,1067.13,1.46304,1.60381,1.61691,0.54435,0.5353,0.51094,0.27444,1.65407,1.73139,1.89799,0.00107675,0.00107675,0.00107675
16,1136.98,1.46628,1.60317,1.61717,0.75058,0.39843,0.49958,0.26986,1.65627,1.64456,1.86497,0.00106437,0.00106437,0.00106437
17,1206.65,1.42672,1.58301,1.5979,0.6165,0.48632,0.51988,0.29245,1.72696,1.88113,1.9903,0.001052,0.001052,0.001052
18,1276.44,1.43137,1.56904,1.59613,0.74891,0.41326,0.48005,0.24627,1.75319,1.6187,1.97167,0.00103962,0.00103962,0.00103962
19,1346.38,1.40926,1.53309,1.57186,0.73059,0.40725,0.50895,0.25955,1.69627,1.69956,1.91387,0.00102725,0.00102725,0.00102725
20,1416.51,1.42182,1.5226,1.58315,0.65923,0.52288,0.57185,0.32467,1.67075,1.50662,1.88289,0.00101488,0.00101488,0.00101488
21,1486.87,1.39558,1.50307,1.56414,0.78872,0.43113,0.55284,0.29814,1.72369,1.48119,1.91951,0.0010025,0.0010025,0.0010025
22,1557.17,1.40204,1.48194,1.56553,0.77706,0.4054,0.52824,0.29,1.68659,1.58898,1.8981,0.000990125,0.000990125,0.000990125
23,1628.08,1.38909,1.47433,1.55982,0.55342,0.5267,0.53927,0.30846,1.65472,1.50027,1.87506,0.00097775,0.00097775,0.00097775
24,1698.64,1.36951,1.43902,1.544,0.69877,0.50988,0.54094,0.29486,1.64917,1.46885,1.86433,0.000965375,0.000965375,0.000965375
25,1768.52,1.37069,1.43007,1.53435,0.7413,0.48232,0.56321,0.29933,1.63098,1.48357,1.86356,0.000953,0.000953,0.000953
26,1838.86,1.36666,1.41421,1.53516,0.75321,0.49717,0.58362,0.34002,1.64363,1.5054,1.85617,0.000940625,0.000940625,0.000940625
27,1909.83,1.36978,1.42328,1.53614,0.6115,0.5338,0.57003,0.30482,1.62225,1.50087,1.84006,0.00092825,0.00092825,0.00092825
28,1980.69,1.34597,1.38889,1.52573,0.78052,0.4451,0.53563,0.27859,1.67802,1.4627,1.88543,0.000915875,0.000915875,0.000915875
29,2051.41,1.36162,1.39502,1.53126,0.73105,0.53434,0.59872,0.33878,1.64757,1.48104,1.86122,0.0009035,0.0009035,0.0009035
30,2122.51,1.34038,1.37142,1.51639,0.77311,0.50816,0.62229,0.34527,1.69722,1.35512,1.87359,0.000891125,0.000891125,0.000891125
31,2192.86,1.34723,1.36269,1.51192,0.76002,0.54911,0.62473,0.35626,1.65935,1.40146,1.87622,0.00087875,0.00087875,0.00087875
32,2263.42,1.31612,1.33502,1.49509,0.62554,0.61165,0.61083,0.3372,1.60025,1.38342,1.82815,0.000866375,0.000866375,0.000866375
33,2330.45,1.31751,1.31838,1.48813,0.77046,0.53092,0.61779,0.3697,1.65066,1.38589,1.86032,0.000854,0.000854,0.000854
34,2397.31,1.31196,1.32585,1.49494,0.75293,0.48207,0.56618,0.31556,1.64394,1.35291,1.86894,0.000841625,0.000841625,0.000841625
35,2464.67,1.30025,1.30448,1.48466,0.74861,0.56064,0.63654,0.36305,1.62702,1.32798,1.85916,0.00082925,0.00082925,0.00082925
36,2534.62,1.30009,1.29053,1.48554,0.80907,0.4297,0.52491,0.28642,1.67016,1.37968,1.86759,0.000816875,0.000816875,0.000816875
37,2606.35,1.29442,1.27997,1.47819,0.68577,0.59545,0.62026,0.36526,1.60272,1.34888,1.84391,0.0008045,0.0008045,0.0008045
38,2676.97,1.28636,1.27164,1.47546,0.69973,0.53499,0.59011,0.33649,1.61865,1.29505,1.82326,0.000792125,0.000792125,0.000792125
39,2747.91,1.28243,1.26466,1.46616,0.69525,0.53617,0.5796,0.33864,1.60355,1.32308,1.84324,0.00077975,0.00077975,0.00077975
40,2819.44,1.29284,1.27233,1.46981,0.64424,0.47142,0.54668,0.30751,1.64461,1.31815,1.83345,0.000767375,0.000767375,0.000767375
41,2889.7,1.2758,1.24432,1.46496,0.74771,0.48728,0.59437,0.34558,1.63919,1.30701,1.8415,0.000755,0.000755,0.000755
42,2960.2,1.27115,1.24619,1.46331,0.79909,0.55768,0.61808,0.37363,1.62065,1.3272,1.82109,0.000742625,0.000742625,0.000742625
43,3030.97,1.27153,1.21833,1.45607,0.67012,0.46673,0.54614,0.30602,1.63316,1.35968,1.84657,0.00073025,0.00073025,0.00073025
44,3102.33,1.25216,1.20726,1.44405,0.76627,0.48846,0.57467,0.32321,1.62363,1.32778,1.81397,0.000717875,0.000717875,0.000717875
